,organism,Number of CRISPRs,Total Cas Prots,Total non V-U Prots,Genes present,System type,system subtype,multiple systems,cas1 missing,missing signature prot,missing RSAs,Taxonomic ID Genus,TaxonID,Taxonomic ID Kingdom,Taxonomic ID Phylum,Taxonomic ID Class,Taxonomic ID Order,Taxonomic ID Family,name
256,NC_009785,1.0,4.0,4.0,csm6|cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
257,NC_009792,1.0,0.0,0.0,,,,,,,not all loci have repeats,Citrobacter,544.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter_koseri
258,NC_009800,3.0,8.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
259,NC_009801,2.0,9.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
260,NC_009828,2.0,8.0,9.0,cas1|cmr1|cas4|cas8b|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeIII-B/TypeIII-D|TypeI-B,3.0,,,not all loci have repeats,Thermotoga,2335.0,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,NC_000853
261,NC_009839,1.0,2.0,2.0,cas1|cas9,TypeII,TypeII-C,1.0,,,not all loci have repeats,Campylobacter,194.0,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_03
262,NC_009921,5.0,35.0,6.0,c2c8|cas4|cas8b|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-2|TypeVU-4|TypeI-B,3.0,,,not all loci have repeats,Frankia,1854.0,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia_alni
263,NC_009925,1.0,0.0,0.0,,,,,,,not all loci have repeats,Acaryochloris,155977.0,Bacteria,Cyanobacteria,Cyanobacteria,Synechococcales,Acaryochloridaceae,Acaryochloris_marina
264,NC_009943,2.0,5.0,5.0,csm6|cas1|cas8e|cas10|cas3,TypeIII|TypeI,TypeIII-A|TypeI-E,2.0,,,not all loci have repeats,Desulfococcus,,,,,,,
265,NC_009952,2.0,5.0,5.0,cas1|cas9|cas8e|cas3,TypeI|TypeII,TypeI-E|TypeII-C,2.0,,,not all loci have repeats,Dinoroseobacter,309512.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter_shibae
266,NC_009953,8.0,8.0,8.0,cas1|cas8u|cas8e|cas3,TypeI,TypeI-E|TypeI-U,1.0,,,not all loci have repeats,Salinispora,168694.0,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,NC_009380
267,NC_009972,8.0,18.0,19.0,cas1|csx10|cmr1|cas10d|cas4|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeIII-C|TypeIII-B/TypeIII-D|TypeI-D,3.0,,,not all loci have repeats,Herpetosiphon,64.0,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon_aurantiacus
268,NC_009973,3.0,4.0,6.0,cas1|cas4|cas8b|cas3,TypeI,TypeI-B,1.0,,,not all loci have repeats,Herpetosiphon,64.0,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon_aurantiacus
269,NC_009997,1.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Shewanella,22.0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,NC_004347
270,NC_010002,1.0,2.0,2.0,cas8f|cas1,,,0.0,,missing signature protein,not all loci have repeats,Delftia,80865.0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia_acidovorans
271,NC_010003,2.0,9.0,7.0,cas1|cas4|cas8b|c2c9|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-B,2.0,,,not all loci have repeats,Petrotoga,28236.0,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,NC_010003
272,NC_010067,1.0,1.0,1.0,cas3,TypeI,,1.0,missing cas1,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
273,NC_010079,1.0,0.0,0.0,,,,,,,not all loci have repeats,Staphylococcus,1279.0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,NC_002745
274,NC_010080,1.0,19.0,6.0,cas1|cas8c|cas4|c2c9|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-C,2.0,,,not all loci have repeats,Lactobacillus,1578.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_acidophilus
275,NC_010102,1.0,1.0,1.0,cas3,TypeI,,1.0,missing cas1,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
276,NC_010120,2.0,2.0,2.0,cas1|cas9,TypeII,TypeII-C,1.0,,,not all loci have repeats,Neisseria,482.0,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,NC_002946
277,NC_010125,3.0,9.0,11.0,cas1|cas8c|cas9|cas4|cas8e|cas3,TypeI|TypeII,TypeI-E|TypeI-C|TypeII-B,2.0,,,not all loci have repeats,Gluconacetobacter,89583.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter_diazotrophicus
278,NC_010159,1.0,2.0,2.0,cas8f|cas1,,,0.0,,missing signature protein,not all loci have repeats,Yersinia,629.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NC_003143
279,NC_010162,7.0,9.0,11.0,cas1|cmr1|cas4|cas8b|cas8u|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B|TypeI-U,2.0,,,not all loci have repeats,Sorangium,39643.0,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,NC_010162
280,NC_010175,5.0,14.0,18.0,cas1|csx10|cas4|cas8b|cas8a|cas10|cas3,TypeIII|TypeI,TypeIII-C|TypeI-B|TypeI-A,2.0,,,not all loci have repeats,Chloroflexus,1107.0,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus_aggregans
281,NC_010278,1.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Actinobacillus,713.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus_pleuropneumoniae
282,NC_010296,5.0,80.0,12.0,cas1|cas10d|cas4|cas8b|c2c9|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeI-D|TypeI-B,3.0,,,not all loci have repeats,Microcystis,1125.0,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis_aeruginosa
283,NC_010320,4.0,5.0,7.0,cas1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeI-B,2.0,,,not all loci have repeats,Thermoanaerobacter,1754.0,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,NC_003869
284,NC_010321,7.0,6.0,8.0,cas1|cmr1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B,2.0,,,not all loci have repeats,Thermoanaerobacter,1754.0,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,NC_003869
285,NC_010336,1.0,4.0,6.0,cas1|cas4|cas12a,TypeV,TypeV-A,1.0,,,not all loci have repeats,Francisella,262.0,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella_cf
286,NC_010337,2.0,9.0,12.0,cas1|cas4|c2c9|cas8e|cas8a|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-E|TypeI-A,2.0,,,not all loci have repeats,Heliobacterium,2697.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium_modesticaldum
287,NC_010376,1.0,3.0,3.0,cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Finegoldia,150022.0,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia_magna
288,NC_010379,1.0,3.0,1.0,cas8b|c2c9|c2c4,TypeV-U,TypeVU-4,1.0,missing cas1,,not all loci have repeats,Clostridium,1485.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,_Clostridium
289,NC_010381,1.0,1.0,1.0,cas8c,,,0.0,missing cas1,missing signature protein,not all loci have repeats,Lysinibacillus,400634.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus_sphaericus
290,NC_010410,1.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Acinetobacter,469.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter_ADP1
291,NC_010418,1.0,3.0,1.0,cas8b|c2c4,TypeV-U,,1.0,missing cas1,,not all loci have repeats,Clostridium,1485.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,_Clostridium
292,NC_010424,4.0,17.0,19.0,cas1|csx10|cmr1|c2c8|cas4|cas8b|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-2|TypeVU-4|TypeIII-C|TypeIII-B/TypeIII-D|TypeI-B,3.0,,,not all loci have repeats,Desulforudis,,,,,,,
293,NC_010465,2.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Yersinia,629.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NC_003143
294,NC_010468,4.0,7.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
295,NC_010473,2.0,5.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
296,NC_010475,1.0,4.0,6.0,cas1|cas4|cas8b|cas3,TypeI,TypeI-B,1.0,,,not all loci have repeats,Synechococcus,1129.0,Bacteria,Cyanobacteria,Cyanobacteria,Synechococcales,Synechococcaceae,NC_007513
297,NC_010478,1.0,5.0,10.0,cas1|cas10d|cas4|cas3,TypeIII|TypeI,TypeI-D,2.0,,,not all loci have repeats,Synechococcus,1129.0,Bacteria,Cyanobacteria,Cyanobacteria,Synechococcales,Synechococcaceae,NC_007513
298,NC_010480,3.0,3.0,3.0,cas1|cmr1|cas10,TypeIII,TypeIII-B/TypeIII-D,1.0,,,not all loci have repeats,Synechococcus,1129.0,Bacteria,Cyanobacteria,Cyanobacteria,Synechococcales,Synechococcaceae,NC_007513
299,NC_010482,3.0,8.0,12.0,cas1|cmr1|cas4|cas8a|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-A,2.0,,,not all loci have repeats,Korarchaeum,,,,,,,
300,NC_010483,7.0,11.0,11.0,cas1|cmr1|cas4|cas8b|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeIII-B/TypeIII-D|TypeI-B,3.0,,,not all loci have repeats,Thermotoga,2335.0,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,NC_000853
301,NC_010498,1.0,7.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
302,NC_010511,3.0,1.0,1.0,cas8c,,,0.0,missing cas1,missing signature protein,not all loci have repeats,Methylobacterium,407.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium_4
303,NC_010516,3.0,1.0,1.0,cas10,TypeIII,,1.0,,,not all loci have repeats,Clostridium,1485.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,_Clostridium
304,NC_010524,1.0,4.0,6.0,cas1|cas8c|cas4|cas3,TypeI,TypeI-C,1.0,,,not all loci have repeats,Leptothrix,88.0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Leptothrix_cholodnii
305,NC_010525,10.0,17.0,25.0,csm6|cas1|cmr1|cas4|cas8a|cas10|cas3,TypeIII|TypeI,TypeIII-A|TypeIII-B/TypeIII-D|TypeI-A,2.0,,,not all loci have repeats,Pyrobaculum,2276.0,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,NC_003364
306,NC_010545,1.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Corynebacterium,1716.0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_aurimucosum
307,NC_010546,4.0,7.0,8.0,cas1|cas4|c2c5|cas8b|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-5|TypeI-B,3.0,,,not all loci have repeats,Cyanothece,43988.0,Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Cyanothecaceae,Cyanothece_ATCC
308,NC_010556,1.0,17.0,6.0,cas1|cas8c|cas4|c2c9|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-C,2.0,,,not all loci have repeats,Exiguobacterium,33986.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales incertae sedis,Exiguobacterium_sibiricum
309,NC_010572,3.0,4.0,3.0,cas1|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Streptomyces,1883.0,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,NC_003155
310,NC_010610,3.0,11.0,9.0,cas1|cas8c|cas4|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-E|TypeI-C,2.0,,,not all loci have repeats,Lactobacillus,1578.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_acidophilus
311,NC_010628,6.0,7.0,10.0,cas1|cas10d|cas4|c2c5|c2c9|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeVU-5|TypeI-D,3.0,,,not all loci have repeats,Nostoc,1177.0,Bacteria,Cyanobacteria,Cyanobacteria,Nostocales,Nostocaceae,_Nostoc
312,NC_010634,2.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Yersinia,629.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,NC_003143
313,NC_010644,1.0,2.0,2.0,cas1|cas9,TypeII,TypeII-C,1.0,,,not all loci have repeats,Elusimicrobium,423604.0,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium_minutum
314,NC_010655,1.0,2.0,2.0,cas1|cas9,TypeII,TypeII-C,1.0,,,not all loci have repeats,Akkermansia,239934.0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia_muciniphila
315,NC_010674,1.0,0.0,0.0,,,,,,,not all loci have repeats,Clostridium,1485.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,_Clostridium
316,NC_010694,2.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Erwinia,551.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia_amylovora
317,NC_010717,1.0,4.0,6.0,cas1|cas8c|cas4|cas3,TypeI,TypeI-C,1.0,,,not all loci have repeats,Xanthomonas,338.0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,NC_003902
318,NC_010723,3.0,0.0,0.0,,,,,,,not all loci have repeats,Clostridium,1485.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,_Clostridium
319,NC_010729,3.0,11.0,13.0,cas1|cmr1|cas4|cas8b|cas10|cas3|cas13b,TypeVI|TypeIII|TypeI,TypeVI-B|TypeIII-B/TypeIII-D|TypeI-B,3.0,,,not all loci have repeats,Porphyromonas,836.0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NC_002950
320,NC_010730,4.0,7.0,8.0,cas1|cmr1|cas4|cas8b|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeIII-B/TypeIII-D|TypeI-B,3.0,,,not all loci have repeats,Sulfurihydrogenibium,212790.0,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,NC_010730
321,NC_010794,5.0,10.0,2.0,cas1|c2c9|cas10,TypeV-U|TypeIII,TypeVU-4,2.0,,,not all loci have repeats,Methylacidiphilum,511745.0,Bacteria,Verrucomicrobia,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum_infernorum
322,NC_010803,3.0,8.0,10.0,cas1|cmr1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B,2.0,,,not all loci have repeats,Chlorobium,1091.0,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium_chlorochromatii
323,NC_010814,1.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Geobacter,28231.0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter_bemidjiensis
324,NC_010816,1.0,2.0,1.0,cas9|c2c9,TypeV-U|TypeII,TypeVU-4|TypeII-C,2.0,missing cas1,,not all loci have repeats,Bifidobacterium,1678.0,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium_adolescentis
325,NC_010831,4.0,5.0,5.0,cas1|cas8e|cas10|cas3,TypeIII|TypeI,TypeI-E,2.0,,,not all loci have repeats,Chlorobium,1091.0,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium_chlorochromatii
326,NC_010939,1.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Actinobacillus,713.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus_pleuropneumoniae
327,NC_010995,1.0,4.0,6.0,cas1|cas8c|cas4|cas3,TypeI,TypeI-C,1.0,,,not all loci have repeats,Cellvibrio,10.0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,_Cellvibrio
328,NC_010999,1.0,3.0,3.0,cas1|cas9|csn2,TypeII,TypeII-A,1.0,,,not all loci have repeats,Lactobacillus,1578.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_acidophilus
329,NC_011025,1.0,2.0,2.0,cas1|csn2,,,0.0,,missing signature protein,not all loci have repeats,Mycoplasma,2093.0,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Candidatus_Mycoplasma
330,NC_011026,2.0,7.0,9.0,csm6|cas1|cmr1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeIII-A|TypeIII-B/TypeIII-D|TypeI-B,2.0,,,not all loci have repeats,Chloroherpeton,100715.0,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chloroherpeton_thalassium
331,NC_011027,1.0,2.0,2.0,cas1|cas10,TypeIII,,1.0,,,not all loci have repeats,Chlorobaculum,256319.0,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum_parvum
332,NC_011059,4.0,6.0,6.0,cas1|cmr1|cas8e|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-E,2.0,,,not all loci have repeats,Prosthecochloris,1101.0,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,NC_011059
333,NC_011060,3.0,7.0,9.0,cas1|cas8c|cas4|cas10|cas3,TypeIII|TypeI,TypeI-C,2.0,,,not all loci have repeats,Pelodictyon,1099.0,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,NC_011060
334,NC_011080,2.0,3.0,2.0,cas1|c2c9|cas8e,TypeV-U,TypeVU-4,1.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
335,NC_011083,3.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
336,NC_011094,2.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
337,NC_011126,1.0,0.0,0.0,,,,,,,not all loci have repeats,Hydrogenobaculum,168657.0,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum_HO
338,NC_011134,2.0,8.0,10.0,csm6|cas1|cas8c|cas9|cas4|csn2|cas3,TypeI|TypeII,TypeI-C|TypeII-B|TypeII-A,2.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
339,NC_011138,1.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Alteromonas,226.0,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas_macleodii
340,NC_011145,2.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Anaeromyxobacter,161492.0,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Anaeromyxobacter_dehalogenans
341,NC_011147,2.0,4.0,2.0,cas1|c2c8|c2c9|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4,2.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
342,NC_011149,2.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
343,NC_011205,1.0,2.0,2.0,cas1|cas8e,,,0.0,,missing signature protein,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
344,NC_011274,2.0,2.0,2.0,cas1|cas8e,,,0.0,,missing signature protein,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
345,NC_011294,2.0,3.0,3.0,cas1|cas8e|cas3,TypeI,TypeI-E,1.0,,,not all loci have repeats,Salmonella,590.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NC_010067
346,NC_011295,1.0,1.0,1.0,cas1,,,0.0,,missing signature protein,not all loci have repeats,Coprothermobacter,68335.0,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Coprothermobacter_proteolyticus
347,NC_011296,5.0,14.0,18.0,cas1|cmr1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B,2.0,,,not all loci have repeats,Thermodesulfovibrio,28261.0,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,NC_011296
348,NC_011297,3.0,9.0,13.0,cas1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeI-B,2.0,,,not all loci have repeats,Dictyoglomus,13.0,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus_thermophilum
349,NC_011353,1.0,7.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
350,NC_011365,4.0,9.0,11.0,cas1|cas8c|cas9|cas4|cas8e|cas3,TypeI|TypeII,TypeI-E|TypeI-C|TypeII-B,2.0,,,not all loci have repeats,Gluconacetobacter,89583.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter_diazotrophicus
351,NC_011375,2.0,8.0,10.0,csm6|cas1|cas8c|cas9|cas4|csn2|cas3,TypeI|TypeII,TypeI-C|TypeII-B|TypeII-A,2.0,,,not all loci have repeats,Streptococcus,1301.0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NC_002737
352,NC_011415,2.0,9.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
353,NC_011420,6.0,8.0,8.0,cas1|cas8u|cas8e|cas10|cas3,TypeIII|TypeI,TypeI-E|TypeI-U,2.0,,,not all loci have repeats,Rhodospirillum,1081.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NC_007643
354,NC_011529,5.0,2.0,4.0,cas4|cas10,TypeIII,,1.0,,,not all loci have repeats,Thermococcus,2263.0,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,NC_006624
355,NC_011567,3.0,13.0,6.0,cas1|cas4|cas8b|c2c9|cas3,TypeV-U|TypeI,TypeVU-4|TypeI-B,2.0,,,not all loci have repeats,Anoxybacillus,150247.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus_flavithermus
356,NC_011586,1.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Acinetobacter,469.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter_ADP1
357,NC_011595,1.0,3.0,3.0,cas8f|cas1|cas3,TypeI,TypeI-F,1.0,,,not all loci have repeats,Acinetobacter,469.0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter_ADP1
